<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010506,268.86,293,259,272.79,55879
20010507,272.79,273,270,272.79,99962
20010508,273.63,280,274,274.55,241949
20010509,280.32,288,275,274.55,415588
20010512,279.49,288,276,287.77,23538
20010513,289.28,293,288,288.69,127297
20010515,292.04,293,289,288.69,102172
20010516,288.69,293,289,288.61,62860
20010519,288.77,289,288,287.85,26226
20010520,287.85,288,280,280.32,26034
20010521,282.83,285,283,282.83,34546
20010523,284.42,284,282,284.34,16305
20010526,284.34,293,284,291.62,16990
20010527,289.86,290,284,284.51,27728
20010528,284.34,285,283,283.42,35706
20010529,283.67,284,280,283.34,5596
20010530,283.08,285,280,284.26,33550
20010602,284.17,284,284,284.09,15079
20010603,281.08,284,278,284.09,45834
20010606,283.92,284,280,280.32,9593
20010609,280.32,280,278,279.99,4332
20010611,279.9,282,280,282,27198
20010612,280.32,282,280,282,16469
20010613,280.32,280,276,280.41,18069
20010616,280.16,280,277,280.16,8865
20010617,276.14,279,274,278.65,75439
20010618,278.65,279,276,275.97,10467
20010619,275.3,278,272,278.4,39421
20010620,275.97,276,268,276.14,38538
20010623,276.14,276,276,276.14,16285
20010624,276.14,276,276,276.14,8556
20010625,275.97,276,276,276.14,14654
20010626,276.22,280,276,276.22,9456
20010627,276.22,280,276,276.22,16015
20010630,276.22,276,276,276.22,2059
20010701,275.97,280,275,280.32,73895
20010702,280.24,280,280,280.24,9462
20010703,280.16,280,280,280.32,30498
20010704,279.99,280,276,276.14,15980
20010707,276.31,276,276,276.14,17431
20010708,276.14,279,276,277.81,7520
20010709,277.81,278,276,276.98,6316
20010710,276.98,277,276,277.39,10203
20010711,277.39,277,276,276.89,29481
20010714,276.14,277,276,276.89,9570
20010715,276.72,279,275,278.65,218087
20010903,264.42,265,264,263.59,30703
20010904,261.83,262,250,254.22,176977
20010905,251.04,254,243,254.22,263539
20010908,254.13,254,251,251.04,45891
20010909,250.87,251,244,251.04,49955
20010910,251.04,251,247,250.53,111676
20010911,247.69,251,243,250.53,1093029
20010912,249.11,249,248,248.11,3411
20010915,247.52,248,243,246.85,18994
20010916,246.85,247,246,246.35,1334
20010917,241.83,245,234,244.34,48391
20010918,241.66,242,242,241.66,6490
20010919,240.91,241,238,238.48,46700
20010922,238.48,241,238,238.48,13183
20010923,234.22,238,230,237.48,14741
20010924,236.56,237,230,234.3,52918
20010925,233.38,233,227,233.38,7833
20010926,226.94,233,226,233.46,48772
20010929,230.03,230,230,230.12,3620
20010930,229.28,230,222,229.28,93953
20011002,228.94,229,229,229.11,5133
20011003,228.78,229,226,228.78,28554
20011006,227.61,228,226,225.93,51130
20011007,225.76,227,224,226.68,16961
20011008,224.26,227,222,226.52,6152
20011009,226.52,227,226,226.27,9382
20011010,225.01,226,225,225.51,80530
20011013,225.43,225,225,225.43,4405
20011014,222.17,225,221,225.43,69943
20011016,225.35,225,224,225.09,105878
20011017,225.09,226,225,225.93,154492
20011020,225.93,226,225,225.93,74202
20011021,225.76,230,226,226.43,110635
20011022,226.85,234,227,234.3,91786
20011023,240.16,245,235,243.09,114019
20011024,247.69,248,243,243.09,143995
20011027,243.67,244,243,242.67,122190
20011028,241.83,242,240,240.16,44527
20011029,240.16,240,234,234.47,152720
20011030,234.72,240,234,234.3,150172
20011031,239.99,240,234,234.47,92676
20011103,235.97,240,234,234.3,90062
20011104,234.38,235,234,234.3,253693
20011105,234.3,236,234,234.55,547593
20011106,235.97,243,236,242.58,1524090
20011107,243.67,254,240,251.2,522363
20011110,251.2,254,247,251.04,260621
20011111,249.45,249,244,246.85,79570
20011112,245.6,251,246,249.53,96297
20011113,250.7,251,247,247.69,109105
20011114,248.11,250,247,248.86,108691
20011117,248.52,249,248,247.69,86168
20011118,247.44,248,247,247.69,38290
20011119,247.44,249,247,248.52,39453
20011120,248.52,249,248,247.69,42670
20011121,247.69,248,248,247.69,32831
20011124,247.69,248,247,247.69,32248
20011125,247.02,248,247,246.85,47308
20011126,246.01,246,243,242.67,35031
20011127,239.82,242,238,241.24,29791
20011128,239.65,240,238,239.07,32787
20011201,236.81,239,237,238.9,9353
20011202,238.9,239,238,238.4,11795
20011203,237.81,238,237,238.32,582422
20011204,237.98,238,238,237.9,507828
20011205,237.9,239,238,238.4,39148
20011208,238.4,239,238,238.48,45372
20011209,238.4,239,236,238.48,31572
20011210,238.48,240,238,240.16,344983
20011211,241.83,247,241,242.92,9708
20011212,246.85,249,244,247.1,90229
20011215,248.11,248,246,246.77,84058
20011217,246.27,246,243,242.67,27379
20011218,244.17,247,244,247.02,51937
20011219,247.27,249,246,246.01,34471
20011222,246.01,246,244,243.59,16768
20011223,242.67,244,242,242.42,17148
20011224,240.16,240,238,238.4,33118
20011225,238.23,238,238,238.4,30142
20011226,238.07,238,236,238.48,49405
20020106,238.48,238,236,236.31,28440
20020107,236.22,236,234,235.89,61526
20020108,234.22,234,226,230.03,75075
20020112,230.03,236,230,235.89,42916
20020113,236.14,238,236,235.89,74132
20020114,236.39,239,236,238.9,25081
20020119,238.9,251,238,250.78,77959
20020120,251.87,263,252,259.24,121562
20020121,258.57,259,251,254.3,306756
20020122,253.96,254,247,249.78,66614
20020123,250.11,254,248,250.11,195432
20020126,249.03,250,247,247.69,48420
20020127,247.6,248,244,246.85,38426
20020128,245.18,247,243,246.68,60872
20020129,244.34,245,243,245.18,55695
20020130,245.18,245,243,242.67,24135
20020202,242.83,243,242,241.75,55207
20020203,240.83,243,238,242.42,80090
20020204,242.25,244,242,244.34,183456
20020205,246.85,247,245,245.51,71135
20020206,245.51,247,245,246.77,187167
20020209,245.18,247,243,243.59,2143015
20020210,243.59,244,243,242.67,60961
20020212,241.83,245,242,242.67,146358
20020213,242.25,242,239,240.99,5979
20020216,239.32,241,239,240.91,24873
20020217,240.91,241,241,240.83,227
20020218,240.16,240,234,238.82,12972
20020219,238.99,239,235,238.48,38185
